step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number
2300,-5.30551893216,-4.98807943382,-5.268297977,12.625,12.375,12.375
2310,-5.26288722816,-5.00458206415,-5.30530546621,12.5625,12.375,12.375
2320,-5.18299550658,-4.94248498936,-5.36683214019,12.75,12.25,12.5625
2330,-5.1088620495,-4.87553133966,-5.44162716581,12.6875,12.1875,12.5625
2340,-5.08501502187,-4.80189626517,-5.47677980245,12.6875,12.3125,12.5
2350,-5.17805454069,-4.79171559424,-5.48209969175,12.5625,12.3125,12.5625
2360,-5.27971584381,-4.85277030612,-5.48830445613,12.5,12.3125,12.4375
2370,-5.29167067185,-4.90287931678,-5.45063587654,12.375,12.0625,12.5625
2380,-5.17977874871,-4.96236796108,-5.37488449646,12.1875,12.125,12.5625
2390,-5.08089183108,-5.04569094209,-5.3058277141,12.125,12.125,12.4375
2400,-5.14678879329,-5.13299343639,-5.24329435908,12.0625,12.1875,12.3125
2410,-5.20287134233,-5.16151750341,-5.18607559414,12.3125,12.0625,12.3125
2420,-5.24601909713,-5.1035194072,-5.19100500165,12.5,11.875,12.125
2430,-5.32604285559,-5.02652874431,-5.24802343003,12.625,12,12.1875
2440,-5.37950482509,-4.95736725459,-5.2907382756,12.5,11.9375,12.3125
2450,-5.38119209844,-4.9190546453,-5.31618073216,12.625,11.875,12.3125
2460,-5.36375792666,-4.97145532766,-5.28048530271,12.6875,11.875,12.5
2470,-5.33913259138,-4.9774793689,-5.18974593218,12.4375,12.0625,12.4375
2480,-5.28484802442,-4.96103579205,-5.13364108984,12.375,12.125,12.4375
2490,-5.18110424658,-4.98348541821,-5.13137795977,12.5625,12.4375,12.625
2500,-5.09182277526,-5.04817837328,-5.17018891697,12.6875,12.5,12.4375
2510,-5.05935148854,-5.10608293552,-5.21998002092,12.6875,12.3125,12.5
2520,-5.14452640177,-5.10217799878,-5.25289240752,12.75,12.3125,12.5625
2530,-5.16664261235,-5.00635068505,-5.26872744266,12.875,12.3125,12.5625
2540,-5.13769459982,-4.90722600726,-5.25786577609,12.625,12.125,12.625
2550,-5.19438365668,-4.90973628187,-5.22405374092,12.625,12.1875,12.625
2560,-5.30455167116,-4.93389469763,-5.17433850497,12.375,12.5,12.375
2570,-5.34957390778,-4.91942815506,-5.09260756188,12.375,12.625,12.1875
2580,-5.33357449248,-4.94835063438,-5.07092934945,12.4375,12.4375,12.125
2590,-5.30179213069,-5.03500172805,-5.17032186949,12.4375,12.5625,12.25
2600,-5.25591248763,-5.05421303842,-5.24061783287,12.4375,12.4375,12.1875
2610,-5.17410513122,-4.97304954502,-5.22654891952,12.5,12.1875,12.0625
2620,-5.18968187706,-4.92706846123,-5.17237546734,12.5,12.25,12.3125
2630,-5.25408471706,-5.01242254511,-5.09900057474,12.5,12.3125,12.3125
2640,-5.29266745155,-5.08124320328,-5.04058656697,12.375,12.25,12.375
2650,-5.33967469723,-5.10625721987,-4.98399343002,12.3125,12.125,12.3125
2660,-5.41717509392,-5.08725063926,-5.00391648749,12.375,12.1875,12.4375
2670,-5.4471978803,-5.0868605897,-5.1323625994,12.375,12.125,12.5625
2680,-5.4103697088,-5.11218596374,-5.19617465997,12.375,12.125,12.375
2690,-5.35751488457,-5.13650986524,-5.19147008046,12.5,12.125,12.0625
2700,-5.31751332294,-5.21067483065,-5.19306905181,12.5625,12.0625,12.0625
2710,-5.31656896359,-5.27067647515,-5.2342773997,12.5625,12.1875,12.0625
2720,-5.35309353297,-5.2619825836,-5.29309716715,12.5,12.1875,11.875
2730,-5.41686780174,-5.18140928416,-5.31176378668,12.5625,12.25,12.0625
2740,-5.42187357788,-5.17268975699,-5.2466197913,12.5,12.25,12.1875
2750,-5.35174184631,-5.12951017712,-5.19042285087,12.5,12.3125,12.25
2760,-5.26526194657,-5.00119578902,-5.18464279878,12.5,12.375,12.5
2770,-5.24400481587,-4.92493787038,-5.2311045798,12.5625,12.4375,12.5
2780,-5.27159080399,-4.9876623016,-5.32270256762,12.4375,12.5,12.5625
2790,-5.28879920826,-5.09935793558,-5.43256326363,12.4375,12.5,12.4375
2800,-5.30658477275,-5.1626481828,-5.47908230019,12.375,12.3125,12.3125
2810,-5.28576220428,-5.16674708366,-5.40229417186,12.3125,11.9375,12.375
2820,-5.20747800439,-5.15204919783,-5.26648676082,12.375,11.875,12.1875
2830,-5.15631093871,-5.13390143319,-5.18720825298,12.25,11.9375,12.4375
2840,-5.20544208929,-5.08108637702,-5.22349783366,12.4375,12,12.5
2850,-5.2911710033,-4.97318749854,-5.30331877366,12.5,11.8125,12.625
2860,-5.3139821015,-4.87278242823,-5.34641351403,12.5,11.875,12.4375
2870,-5.25200632876,-4.87613845872,-5.41402361845,12.5625,11.6875,12.4375
2880,-5.19560760262,-4.9440293536,-5.44812782103,12.75,11.8125,12.375
2890,-5.17745335752,-5.04439585085,-5.39133901381,12.8125,11.9375,12.375
2900,-5.19375831605,-5.12459716782,-5.306602475,12.6875,12.125,12.375
2910,-5.23968774279,-5.16260452055,-5.23032557988,12.5625,12.3125,12.5
2920,-5.29155412103,-5.1190176206,-5.1661964746,12.5625,12.25,12.5
2930,-5.33223935053,-5.03649525501,-5.11187522158,12.5,12.375,12.4375
2940,-5.33411814541,-4.99853268153,-5.0506517015,12.5625,12.375,12.4375
2950,-5.28426107183,-5.0058083931,-5.04884846667,12.5625,12.5,12.625
2960,-5.29015151401,-5.07673106754,-5.15364813203,12.75,12.6875,12.5
2970,-5.33839272295,-5.16807628228,-5.20329920096,12.625,12.8125,12.4375
2980,-5.30337689013,-5.21753221832,-5.17082215009,12.4375,12.5625,12.4375
2990,-5.27076217839,-5.21784633673,-5.22867614111,12.5,12.5625,12.25
3000,-5.29649143731,-5.17061457744,-5.32213663341,12.5,12.3125,12.1875
